COD_CIDADE;CIDADE;COD_UF;UF
350010;ADAMANTINA;35;SP
350020;ADOLFO;35;SP
350030;AGUAI;35;SP
350040;AGUAS DA PRATA;35;SP
350050;AGUAS DE LINDOIA;35;SP
350055;AGUAS DE SANTA BARBARA;35;SP
350060;AGUAS DE SAO PEDRO;35;SP
350070;AGUDOS;35;SP
350075;ALAMBARI;35;SP
350080;ALFREDO MARCONDES;35;SP
350090;ALTAIR;35;SP
350100;ALTINOPOLIS;35;SP
350110;ALTO ALEGRE;35;SP
350115;ALUMINIO;35;SP
350120;ALVARES FLORENCE;35;SP
350130;ALVARES MACHADO;35;SP
350140;ALVARO DE CARVALHO;35;SP
350150;ALVINLANDIA;35;SP
350160;AMERICANA;35;SP
350170;AMERICO BRASILIENSE;35;SP
350180;AMERICO DE CAMPOS;35;SP
350190;AMPARO;35;SP
350200;ANALANDIA;35;SP
350210;ANDRADINA;35;SP
350220;ANGATUBA;35;SP
350230;ANHEMBI;35;SP
350240;ANHUMAS;35;SP
350250;APARECIDA;35;SP
350260;APARECIDA D'OESTE;35;SP
350270;APIAI;35;SP
350275;ARACARIGUAMA;35;SP
350280;ARACATUBA;35;SP
350290;ARACOIABA DA SERRA;35;SP
350300;ARAMINA;35;SP
350310;ARANDU;35;SP
350315;ARAPEI;35;SP
350320;ARARAQUARA;35;SP
350330;ARARAS;35;SP
350335;ARCO-IRIS;35;SP
350340;AREALVA;35;SP
350350;AREIAS;35;SP
350360;AREIOPOLIS;35;SP
350370;ARIRANHA;35;SP
350380;ARTUR NOGUEIRA;35;SP
350390;ARUJA;35;SP
350395;ASPASIA;35;SP
350400;ASSIS;35;SP
350410;ATIBAIA;35;SP
350420;AURIFLAMA;35;SP
350430;AVAI;35;SP
350440;AVANHANDAVA;35;SP
350450;AVARE;35;SP
350460;BADY BASSITT;35;SP
350470;BALBINOS;35;SP
350480;BALSAMO;35;SP
350490;BANANAL;35;SP
350500;BARAO DE ANTONINA;35;SP
350510;BARBOSA;35;SP
350520;BARIRI;35;SP
350530;BARRA BONITA;35;SP
350535;BARRA DO CHAPEU;35;SP
350540;BARRA DO TURVO;35;SP
350550;BARRETOS;35;SP
350560;BARRINHA;35;SP
350570;BARUERI;35;SP
350580;BASTOS;35;SP
350590;BATATAIS;35;SP
350600;BAURU;35;SP
350610;BEBEDOURO;35;SP
350620;BENTO DE ABREU;35;SP
350630;BERNARDINO DE CAMPOS;35;SP
350635;BERTIOGA;35;SP
350640;BILAC;35;SP
350650;BIRIGUI;35;SP
350660;BIRITIBA-MIRIM;35;SP
350670;BOA ESPERANCA DO SUL;35;SP
350680;BOCAINA;35;SP
350690;BOFETE;35;SP
350700;BOITUVA;35;SP
350710;BOM JESUS DOS PERDOES;35;SP
350715;BOM SUCESSO DE ITARARE;35;SP
350720;BORA;35;SP
350730;BORACEIA;35;SP
350740;BORBOREMA;35;SP
350745;BOREBI;35;SP
350750;BOTUCATU;35;SP
350760;BRAGANCA PAULISTA;35;SP
350770;BRAUNA;35;SP
350775;BREJO ALEGRE;35;SP
350780;BRODOSQUI;35;SP
350790;BROTAS;35;SP
350800;BURI;35;SP
350810;BURITAMA;35;SP
350820;BURITIZAL;35;SP
350830;CABRALIA PAULISTA;35;SP
350840;CABREUVA;35;SP
350850;CACAPAVA;35;SP
350860;CACHOEIRA PAULISTA;35;SP
350870;CACONDE;35;SP
350880;CAFELANDIA;35;SP
350890;CAIABU;35;SP
350900;CAIEIRAS;35;SP
350910;CAIUA;35;SP
350920;CAJAMAR;35;SP
350925;CAJATI;35;SP
350930;CAJOBI;35;SP
350940;CAJURU;35;SP
350945;CAMPINA DO MONTE ALEGRE;35;SP
350950;CAMPINAS;35;SP
350960;CAMPO LIMPO PAULISTA;35;SP
350970;CAMPOS DO JORDAO;35;SP
350980;CAMPOS NOVOS PAULISTA;35;SP
350990;CANANEIA;35;SP
350995;CANAS;35;SP
351000;CANDIDO MOTA;35;SP
351010;CANDIDO RODRIGUES;35;SP
351015;CANITAR;35;SP
351020;CAPAO BONITO;35;SP
351030;CAPELA DO ALTO;35;SP
351040;CAPIVARI;35;SP
351050;CARAGUATATUBA;35;SP
351060;CARAPICUIBA;35;SP
351070;CARDOSO;35;SP
351080;CASA BRANCA;35;SP
351090;CASSIA DOS COQUEIROS;35;SP
351100;CASTILHO;35;SP
351110;CATANDUVA;35;SP
351120;CATIGUA;35;SP
351130;CEDRAL;35;SP
351140;CERQUEIRA CESAR;35;SP
351150;CERQUILHO;35;SP
351160;CESARIO LANGE;35;SP
351170;CHARQUEADA;35;SP
351190;CLEMENTINA;35;SP
351200;COLINA;35;SP
351210;COLOMBIA;35;SP
351220;CONCHAL;35;SP
351230;CONCHAS;35;SP
351240;CORDEIROPOLIS;35;SP
351250;COROADOS;35;SP
351260;CORONEL MACEDO;35;SP
351270;CORUMBATAI;35;SP
351280;COSMOPOLIS;35;SP
351290;COSMORAMA;35;SP
351300;COTIA;35;SP
351310;CRAVINHOS;35;SP
351320;CRISTAIS PAULISTA;35;SP
351330;CRUZALIA;35;SP
351340;CRUZEIRO;35;SP
351350;CUBATAO;35;SP
351360;CUNHA;35;SP
351370;DESCALVADO;35;SP
351380;DIADEMA;35;SP
351385;DIRCE REIS;35;SP
351390;DIVINOLANDIA;35;SP
351400;DOBRADA;35;SP
351410;DOIS CORREGOS;35;SP
351420;DOLCINOPOLIS;35;SP
351430;DOURADO;35;SP
351440;DRACENA;35;SP
351450;DUARTINA;35;SP
351460;DUMONT;35;SP
351470;ECHAPORA;35;SP
351480;ELDORADO;35;SP
351490;ELIAS FAUSTO;35;SP
351492;ELISIARIO;35;SP
351495;EMBAUBA;35;SP
351500;EMBU;35;SP
351510;EMBU-GUACU;35;SP
351512;EMILIANOPOLIS;35;SP
351515;ENGENHEIRO COELHO;35;SP
351518;ESPIRITO SANTO DO PINHAL;35;SP
351519;ESPIRITO SANTO DO TURVO;35;SP
351520;ESTRELA D'OESTE;35;SP
351530;ESTRELA DO NORTE;35;SP
351535;EUCLIDES DA CUNHA PAULISTA;35;SP
351540;FARTURA;35;SP
351550;FERNANDOPOLIS;35;SP
351560;FERNANDO PRESTES;35;SP
351565;FERNAO;35;SP
351570;FERRAZ DE VASCONCELOS;35;SP
351580;FLORA RICA;35;SP
351590;FLOREAL;35;SP
351600;FLORIDA PAULISTA;35;SP
351610;FLORINIA;35;SP
351620;FRANCA;35;SP
351630;FRANCISCO MORATO;35;SP
351640;FRANCO DA ROCHA;35;SP
351650;GABRIEL MONTEIRO;35;SP
351660;GALIA;35;SP
351670;GARCA;35;SP
351680;GASTAO VIDIGAL;35;SP
351685;GAVIAO PEIXOTO;35;SP
351690;GENERAL SALGADO;35;SP
351700;GETULINA;35;SP
351710;GLICERIO;35;SP
351720;GUAICARA;35;SP
351730;GUAIMBE;35;SP
351740;GUAIRA;35;SP
351750;GUAPIACU;35;SP
351760;GUAPIARA;35;SP
351770;GUARA;35;SP
351780;GUARACAI;35;SP
351790;GUARACI;35;SP
351800;GUARANI D'OESTE;35;SP
351810;GUARANTA;35;SP
351820;GUARARAPES;35;SP
351830;GUARAREMA;35;SP
351840;GUARATINGUETA;35;SP
351850;GUAREI;35;SP
351860;GUARIBA;35;SP
351870;GUARUJA;35;SP
351880;GUARULHOS;35;SP
351885;GUATAPARA;35;SP
351890;GUZOLANDIA;35;SP
351900;HERCULANDIA;35;SP
351905;HOLAMBRA;35;SP
351907;HORTOLANDIA;35;SP
351910;IACANGA;35;SP
351920;IACRI;35;SP
351925;IARAS;35;SP
351930;IBATE;35;SP
351940;IBIRA;35;SP
351950;IBIRAREMA;35;SP
351960;IBITINGA;35;SP
351970;IBIUNA;35;SP
351980;ICEM;35;SP
351990;IEPE;35;SP
352000;IGARACU DO TIETE;35;SP
352010;IGARAPAVA;35;SP
352020;IGARATA;35;SP
352030;IGUAPE;35;SP
352040;ILHABELA;35;SP
352042;ILHA COMPRIDA;35;SP
352044;ILHA SOLTEIRA;35;SP
352050;INDAIATUBA;35;SP
352060;INDIANA;35;SP
352070;INDIAPORA;35;SP
352080;INUBIA PAULISTA;35;SP
352090;IPAUCU;35;SP
352100;IPERO;35;SP
352110;IPEUNA;35;SP
352115;IPIGUA;35;SP
352120;IPORANGA;35;SP
352130;IPUA;35;SP
352140;IRACEMAPOLIS;35;SP
352150;IRAPUA;35;SP
352160;IRAPURU;35;SP
352170;ITABERA;35;SP
352180;ITAI;35;SP
352190;ITAJOBI;35;SP
352200;ITAJU;35;SP
352210;ITANHAEM;35;SP
352215;ITAOCA;35;SP
352220;ITAPECERICA DA SERRA;35;SP
352230;ITAPETININGA;35;SP
352240;ITAPEVA;35;SP
352250;ITAPEVI;35;SP
352260;ITAPIRA;35;SP
352265;ITAPIRAPUA PAULISTA;35;SP
352270;ITAPOLIS;35;SP
352280;ITAPORANGA;35;SP
352290;ITAPUI;35;SP
352300;ITAPURA;35;SP
352310;ITAQUAQUECETUBA;35;SP
352320;ITARARE;35;SP
352330;ITARIRI;35;SP
352340;ITATIBA;35;SP
352350;ITATINGA;35;SP
352360;ITIRAPINA;35;SP
352370;ITIRAPUA;35;SP
352380;ITOBI;35;SP
352390;ITU;35;SP
352400;ITUPEVA;35;SP
352410;ITUVERAVA;35;SP
352420;JABORANDI;35;SP
352430;JABOTICABAL;35;SP
352440;JACAREI;35;SP
352450;JACI;35;SP
352460;JACUPIRANGA;35;SP
352470;JAGUARIUNA;35;SP
352480;JALES;35;SP
352490;JAMBEIRO;35;SP
352500;JANDIRA;35;SP
352510;JARDINOPOLIS;35;SP
352520;JARINU;35;SP
352530;JAU;35;SP
352540;JERIQUARA;35;SP
352550;JOANOPOLIS;35;SP
352560;JOAO RAMALHO;35;SP
352570;JOSE BONIFACIO;35;SP
352580;JULIO MESQUITA;35;SP
352585;JUMIRIM;35;SP
352590;JUNDIAI;35;SP
352600;JUNQUEIROPOLIS;35;SP
352610;JUQUIA;35;SP
352620;JUQUITIBA;35;SP
352630;LAGOINHA;35;SP
352640;LARANJAL PAULISTA;35;SP
352650;LAVINIA;35;SP
352660;LAVRINHAS;35;SP
352670;LEME;35;SP
352680;LENCOIS PAULISTA;35;SP
352690;LIMEIRA;35;SP
352700;LINDOIA;35;SP
352710;LINS;35;SP
352720;LORENA;35;SP
352725;LOURDES;35;SP
352730;LOUVEIRA;35;SP
352740;LUCELIA;35;SP
352750;LUCIANOPOLIS;35;SP
352760;LUIS ANTONIO;35;SP
352770;LUIZIANIA;35;SP
352780;LUPERCIO;35;SP
352790;LUTECIA;35;SP
352800;MACATUBA;35;SP
352810;MACAUBAL;35;SP
352820;MACEDONIA;35;SP
352830;MAGDA;35;SP
352840;MAIRINQUE;35;SP
352850;MAIRIPORA;35;SP
352860;MANDURI;35;SP
352870;MARABA PAULISTA;35;SP
352880;MARACAI;35;SP
352885;MARAPOAMA;35;SP
352890;MARIAPOLIS;35;SP
352900;MARILIA;35;SP
352910;MARINOPOLIS;35;SP
352920;MARTINOPOLIS;35;SP
352930;MATAO;35;SP
352940;MAUA;35;SP
352950;MENDONCA;35;SP
352960;MERIDIANO;35;SP
352965;MESOPOLIS;35;SP
352970;MIGUELOPOLIS;35;SP
352980;MINEIROS DO TIETE;35;SP
352990;MIRACATU;35;SP
353000;MIRA ESTRELA;35;SP
353010;MIRANDOPOLIS;35;SP
353020;MIRANTE DO PARANAPANEMA;35;SP
353030;MIRASSOL;35;SP
353040;MIRASSOLANDIA;35;SP
353050;MOCOCA;35;SP
353060;MOJI DAS CRUZES;35;SP
353070;MOJI-GUACU;35;SP
353080;MOJI-MIRIM;35;SP
353090;MOMBUCA;35;SP
353100;MONCOES;35;SP
353110;MONGAGUA;35;SP
353120;MONTE ALEGRE DO SUL;35;SP
353130;MONTE ALTO;35;SP
353140;MONTE APRAZIVEL;35;SP
353150;MONTE AZUL PAULISTA;35;SP
353160;MONTE CASTELO;35;SP
353170;MONTEIRO LOBATO;35;SP
353180;MONTE MOR;35;SP
